#{"t_start": 1748053850.8665836, "env_id": "None"}
r,l,t
209.57506,1000,577.358627
350.30188,1000,578.531212
208.61047,1000,578.971568
232.85764,1000,584.316267
360.99753,1000,590.155483
274.37015,1000,591.784733
264.0614,1000,597.522359
168.72203,1000,600.858609
205.07988,1000,603.909789
250.06783,1000,605.169324
-4.6200657,1,605.198542
193.3005,1000,605.601766
225.51062,1000,611.011176
174.58934,1000,616.772932
56.759613,247,617.532249
0.8488764,3,617.619458
187.9785,1000,618.435633
41.152042,139,621.245424
-4.601927,1,621.273414
305.42566,1000,624.097706
225.5469,1000,627.35518
307.9276,1000,630.329965
217.7332,1000,631.589183
197.63142,1000,631.97874
221.41391,1000,643.070477
204.60435,1000,644.628396
246.61243,1000,647.645156
-4.60398,1,647.675653
281.05527,1000,650.62926
51.139187,278,652.285802
206.94585,1000,653.962321
0.39203188,1,653.987951
-3.9525325,3,654.068107
-4.6387396,1,654.095136
207.62813,1000,656.93345
313.77002,1000,658.215816
217.1706,1000,658.610182
270.8106,1000,669.658245
17.568645,102,672.386146
147.51709,1000,674.168967
180.52216,1000,676.997377
102.547226,1000,678.590921
218.13264,1000,680.460175
21.480465,136,680.617087
-4.6152534,1,680.642576
363.86227,1000,683.452225
185.34048,1000,684.708389
188.34172,1000,685.08956
123.41342,1000,698.841419
180.66692,1000,700.640156
241.11786,1000,705.199189
209.3246,1000,706.982471
228.3669,1000,707.17286
132.33046,1000,709.888885
-4.600553,1,709.9171
190.86606,1000,711.138682
172.26361,1000,711.50119
201.8975,1000,725.063381
-4.610329,1,725.094003
197.88943,1000,726.81075
110.776436,1000,731.261419
183.18161,1000,733.083503
344.92603,1000,733.288532
70.52244,1000,735.988391
299.84348,1000,737.188375
223.45403,1000,737.560323
358.66833,1000,751.87902
388.18826,1000,753.776043
337.42148,1000,758.383192
399.8861,1000,760.29626
238.82541,1000,760.486098
0.3972483,1,760.517073
291.95618,1000,763.434982
420.85062,1000,764.710163
-4.614282,1,764.737544
27.07213,155,764.927861
189.41103,1000,765.125774
-4.641499,1,765.154371
321.75784,1000,779.680495
257.86688,1000,781.442373
392.92426,1000,785.832143
297.17322,1000,787.619604
633.96124,1000,790.466419
-4.603405,1,790.494333
336.64648,1000,791.592194
-4.628962,1,791.618788
376.85275,1000,791.787946
291.56824,1000,792.00827
4.7462487,12,792.119084
329.2938,1000,806.151552
204.91216,1000,807.970048
255.60542,1000,812.39611
234.32323,1000,814.254759
179.93561,1000,817.140942
201.02406,1000,818.379431
254.42015,1000,818.752128
158.65686,1000,818.854056
196.91272,1000,832.715083
190.44463,1000,834.53659
225.72624,1000,839.055815
0.39925468,1,839.081812
207.84406,1000,840.87413
151.1429,1000,843.661747
190.87004,1000,844.926334
170.11891,1000,845.302423
-4.6146727,1,845.328826
152.1967,1000,845.409209
171.38373,1000,859.252221
-4.6010437,1,859.279451
138.97423,1000,861.041409
212.61534,1000,865.497699
-4.6138425,1,865.527537
140.55663,1000,867.218143
145.95456,1000,870.124608
259.24472,1000,871.350419
215.96716,1000,871.732206
165.50763,1000,871.815427
276.04208,1000,885.73357
-4.603417,1,885.761721
266.6132,1000,887.540536
16.300129,88,888.152721
297.81235,1000,892.059456
200.09326,1000,893.70385
264.72583,1000,896.487876
263.94424,1000,897.772787
302.63806,1000,898.187778
174.4457,1000,898.268344
0.35183126,1,898.296098
363.37378,1000,913.813
211.58766,1000,914.391005
31.558338,116,916.933694
-4.6021376,1,916.960854
357.28793,1000,918.36128
244.51144,1000,920.167439
-4.6159225,1,920.194466
-4.6064143,1,920.223138
298.2513,1000,923.193534
299.8254,1000,924.486942
526.5703,1000,924.912848
233.15222,1000,925.022798
51.775345,130,928.610444
-4.612536,1,928.639328
406.81732,1000,941.496654
-4.605885,1,941.524048
319.69385,1000,944.084633
338.0819,1000,945.507708
302.96545,1000,947.380279
46.145496,147,948.021625
304.97382,1000,950.220113
-4.623683,1,950.248116
-4.6143045,1,950.274752
542.7317,1000,951.443208
-4.2237167,2,951.500431
429.72858,1000,951.852856
232.40071,1000,955.482617
-4.613682,1,955.511106
-4.6457872,1,955.537223
267.77008,1000,968.420679
42.845078,109,971.470049
267.08215,1000,972.552851
399.43674,1000,974.460133
304.83505,1000,975.168319
314.8436,1000,977.465874
264.3706,1000,978.765504
270.95688,1000,979.101124
-4.625713,1,979.12674
278.84076,1000,982.957573
271.42426,1000,998.289219
343.6543,1000,999.339849
317.3362,1000,1001.226758
302.4052,1000,1001.919705
238.604,1000,1004.261331
-3.8631995,3,1004.34119
244.98283,1000,1005.564877
273.51385,1000,1005.963075
-4.6354403,1,1005.99562
194.52754,1000,1009.398035
-4.6107574,1,1009.424496
-4.605771,1,1009.452052
-2.0763476,10,1009.728181
50.7013,273,1013.009226
29.527899,128,1016.486129
6.91347,82,1018.839936
292.43048,1000,1025.688875
343.76614,1000,1026.77442
331.59283,1000,1028.795118
-4.6273627,1,1028.827509
265.2263,1000,1029.541867
375.71997,1000,1032.008565
397.58942,1000,1033.274557
266.95154,1000,1037.75737
223.22195,1000,1047.027505
230.66945,1000,1053.769012
152.27841,1000,1054.846331
28.260136,102,1056.647667
341.66327,1000,1056.834471
281.05414,1000,1057.433771
234.08427,1000,1059.886477
0.39545563,1,1059.916867
226.03775,1000,1061.133562
229.40184,1000,1065.68206
238.91393,1000,1075.072265
288.7149,1000,1082.68004
270.5002,1000,1084.438511
388.3984,1000,1084.608118
266.69,1000,1085.237229
372.4352,1000,1087.662935
364.66876,1000,1088.866288
170.39705,1000,1093.338319
30.912785,100,1096.144465
-4.6430264,1,1096.17517
476.78418,1000,1102.759656
-4.3301,2,1102.816936
-4.618492,1,1102.851545
-4.607795,1,1102.876618
295.21445,1000,1110.287748
393.68478,1000,1112.033046
340.2891,1000,1112.2019
-4.6636186,1,1112.230885
-2.1731246,10,1112.5108
218.52956,1000,1112.855026
18.569536,133,1113.881834
273.8846,1000,1115.239379
313.64438,1000,1116.347381
8.882648,155,1119.237007
327.74554,1000,1123.232825
-4.606924,1,1123.260666
243.26836,1000,1129.638909
149.92635,1000,1138.402541
190.2057,1000,1138.892112
217.96004,1000,1139.267632
-4.634757,1,1139.297708
245.85977,1000,1140.37007
334.9236,1000,1143.032851
34.378723,186,1144.143787
258.7186,1000,1146.117189
220.42528,1000,1150.380077
205.68011,1000,1157.11832
289.2641,1000,1166.518891
221.09874,1000,1167.39243
187.0904,1000,1168.483844
137.06538,1000,1171.134563
344.99582,1000,1172.319249
59.801903,249,1173.652594
318.08905,1000,1174.384644
43.425114,133,1174.975581
53.504845,143,1177.769943
39.61205,120,1178.426774
254.6014,1000,1178.736521
290.6616,1000,1185.566168
394.63046,1000,1196.018229
205.10268,1000,1197.036136
414.4282,1000,1200.750026
313.1205,1000,1202.746294
29.107485,116,1206.018143
159.51762,1000,1206.075913
365.96817,1000,1206.736033
141.14244,1000,1207.048448
360.39835,1000,1213.930157
-4.6185417,1,1213.960542
355.0307,1000,1224.070127
-4.609164,1,1224.098888
182.93237,1000,1225.101681
3.2412744,82,1227.396159
235.4136,1000,1228.871476
168.71317,1000,1234.01085
-4.6051435,1,1234.040947
-4.6717377,1,1234.073078
162.63113,1000,1234.073205
374.49973,1000,1234.721209
143.90315,1000,1235.036537
313.43454,1000,1241.436923
270.86343,1000,1251.316191
-3.7961085,3,1251.393634
223.63939,1000,1254.518734
