#{"t_start": 1747647125.4022377, "env_id": "None"}
r,l,t
3.8675604,44,13.320465
5.60551,43,13.422144
2.0423644,32,13.48151
3.8689592,71,13.507429
2.855554,27,13.515826
5.474909,53,13.541078
6.355651,55,13.549736
2.4165282,37,13.624528
5.20318,33,13.703392
4.94411,44,13.703457
2.6899347,31,13.747847
3.591313,25,13.757328
2.2403147,19,13.876227
5.3199463,42,13.885248
3.3726254,35,13.941422
3.6462648,31,13.986745
6.4974585,51,14.00512
2.4059873,60,14.041669
5.4900556,36,14.086715
2.0691674,19,14.16074
4.643323,39,14.241307
6.960302,43,14.267355
4.6569166,59,14.286335
2.6381538,28,14.341362
5.2596545,45,14.35074
6.8216434,45,14.416563
5.5183554,45,14.451679
2.7983634,43,14.54679
5.0719433,35,14.581089
3.5141985,42,14.659762
4.3506465,42,14.718991
4.2326756,40,14.761784
3.0475001,37,14.770345
2.2062325,22,14.851853
9.912297,65,14.912412
8.310832,76,14.912474
