#{"t_start": 1747809037.366212, "env_id": "None"}
r,l,t
-10.007332,46,22.693309
-7.3123617,60,22.818921
-9.525169,53,22.89604
-11.526871,44,23.023829
-6.0221457,35,23.05674
1.2476921,53,23.143043
-6.4228067,39,23.209875
-14.924282,73,23.262962
-20.373558,109,23.337442
-6.2500997,36,23.37626
-2.1839576,76,23.384886
-11.543069,41,23.535508
-9.826982,36,23.602666
-8.5573435,82,23.699557
-18.773144,68,23.710354
-11.096399,46,23.817455
-6.64558,50,23.867504
-12.6761055,46,24.050325
-7.7783804,54,24.059958
-5.8772726,95,24.12898
-2.52735,89,24.198999
-6.3218074,43,24.291168
-7.781224,65,24.354999
-11.387829,68,24.376427
-7.2852836,37,24.511308
-12.1915655,49,24.564229
-7.6183734,51,24.575039
-1.6102272,86,24.691233
-11.198827,49,24.802092
-4.868706,51,24.913502
-6.3714924,30,25.016421
-10.433532,49,25.037008
-10.223456,91,25.160186
1.3715792,81,25.209915
-8.200685,63,25.231875
-10.805836,37,25.41097
-14.896487,70,25.719829
-6.6305504,80,25.7314
-17.429094,119,25.798121
-10.007534,66,25.892967
-11.399648,54,25.952279
-9.072169,40,26.136034
-26.429008,138,26.214511
-6.7155156,50,26.226845
-21.622175,107,26.281869
-16.357265,115,26.314741
-3.8981225,54,26.437135
-11.25468,34,26.477719
-14.531532,69,26.49875
-3.5120697,60,26.563475
-2.0289001,42,26.652224
-10.73386,40,26.692487
-8.87531,47,26.793263
-10.0337105,66,26.88657
-9.530196,46,26.973702
-9.69913,37,27.034552
-5.700046,59,27.083062
-5.372756,54,27.115871
-2.6865158,41,27.115928
-5.024061,95,27.42683
-9.891089,55,27.471639
-4.704283,50,27.503239
-8.081107,42,27.535058
-10.889846,73,27.566094
-14.49616,45,27.592593
1.6374835,60,27.665404
-9.168042,29,27.721879
-2.3137772,66,27.801079
-3.7346735,40,27.883063
-7.616182,47,28.012872
-7.593557,29,28.060371
-2.9132283,50,28.080972
-11.048573,50,28.110338
-10.249436,52,28.168883
-3.54376,41,28.337933
-2.0944974,63,28.350976
-11.735227,46,28.489864
-10.081993,41,28.53257
-0.41010502,70,28.567547
-2.7795084,53,28.636779
-3.519809,45,28.636852
-6.967668,45,28.819646
-4.822645,42,29.011034
-9.081874,38,29.033633
-11.1264515,45,29.109751
8.159036,105,29.16748
-10.439433,72,29.260223
-5.230332,86,29.449988
-7.237572,41,29.544564
1.498035,122,29.634207
-9.64439,47,29.667546
-5.7186294,38,29.979999
-19.433916,106,29.980064
3.1134806,88,29.980077
-17.708782,76,30.096326
-17.97127,99,30.118924
-6.10024,43,30.150903
1.0055488,75,30.282655
-8.794731,40,30.411222
-1.6663417,44,30.451182
-8.965428,36,30.501754
5.1450596,44,30.570744
-8.285426,48,30.669104
-3.339642,39,30.701829
-7.770276,27,30.70189
-7.55242,43,30.974521
-11.746489,58,31.078926
8.498627,103,31.087544
-5.1595917,56,31.177284
-10.186813,64,31.360694
-10.921526,76,31.520202
-5.158888,77,31.529443
-20.72726,177,31.559622
-8.574641,54,31.653549
0.3235168,40,31.785471
-9.901389,60,31.817642
-12.374156,42,31.966101
-12.949303,36,32.037807
-12.097984,50,32.062172
-13.052879,106,32.103316
-10.777345,110,32.266783
-5.044458,52,32.364511
-1.609075,84,32.441562
-3.3557868,39,32.649165
-10.159232,86,32.668164
-13.737569,61,32.720369
-10.468881,37,32.734518
-10.34072,67,32.746018
-11.472677,39,32.838715
0.22790484,86,32.91869
-9.6849575,96,32.950423
-4.846214,33,33.011968
-7.711253,43,33.196514
-6.029843,50,33.25154
-8.054911,62,33.319558
-12.149367,44,33.410308
-5.652808,62,33.410403
-11.011516,42,33.420184
1.7957004,57,33.460347
-4.762996,40,33.460409
-9.880752,33,33.624673
-11.736844,58,33.82708
-4.475228,43,33.859487
-9.883559,42,33.898301
-5.994923,43,33.908703
-11.137185,53,33.956594
-1.0122468,60,34.026342
2.2884347,44,34.295464
-4.484323,44,34.338256
-1.7061465,53,34.565481
-7.435585,102,34.644299
-11.725374,51,34.803417
4.6395955,92,34.826072
-13.048748,106,34.888597
-9.217201,49,35.155416
-13.704266,83,35.184198
-33.71738,185,35.220045
-9.726756,65,35.245314
-5.163953,43,35.2652
-9.541152,39,35.3053
-7.0129485,45,35.30536
-7.113251,30,35.49301
-16.600725,151,35.521562
-4.4161634,40,35.701529
-5.40242,45,35.794638
1.65621,58,35.929156
-1.6144624,69,35.961869
-7.2340913,47,35.982918
-10.537889,65,36.214562
0.051663894,94,36.261581
-5.68815,36,36.328996
-13.21134,60,36.352549
-3.333274,35,36.352612
-4.788938,49,36.523198
-2.6173332,44,36.729192
-5.829044,148,36.780381
-12.833837,95,36.814665
-8.692973,61,36.870481
-2.7331135,50,36.882171
-8.159231,45,37.196715
-7.8804426,41,37.205501
-9.039131,44,37.318624
-10.805527,51,37.32936
1.4929138,98,37.360823
-11.572662,113,37.485061
-6.5165567,37,37.559399
-4.480335,37,37.851687
23.861748,135,37.88499
-0.3158928,85,38.213075
6.791453,145,38.331103
1.1990402,51,38.382996
-14.752787,122,38.57742
-7.2945395,48,38.749901
-8.30941,91,38.866765
21.527536,172,38.987292
-11.490557,61,39.054223
-7.5401797,46,39.074435
-3.5800178,71,39.101276
31.80995,179,39.188957
-4.5161724,40,39.275514
-5.711878,61,39.381593
-10.09094,38,39.44555
-8.350284,41,39.498338
35.031433,200,39.654672
-6.1476316,44,39.73254
-1.4435759,56,39.76932
-4.1655254,77,39.88712
1.2272084,97,39.978526
-7.848184,37,40.017329
-4.5377398,35,40.115119
-7.924112,43,40.159489
-8.413833,43,40.329221
-4.412396,50,40.531188
6.166817,112,40.581892
18.345291,134,40.747546
-12.181201,125,40.769019
-12.217133,60,40.779783
-3.2681425,44,40.77983
-10.061515,37,41.180612
-12.477372,118,41.218184
-5.868606,42,41.23845
-6.09693,73,41.310994
-0.9683294,45,41.65218
-8.532269,34,41.666292
-8.687331,46,41.722776
-9.576748,54,41.787129
-4.5999312,116,42.019546
18.08046,183,42.066087
-4.191518,48,42.188261
12.481675,151,42.211555
-6.710723,67,42.412106
1.7893589,73,42.529065
-9.616268,51,42.581227
-1.7194213,175,42.646968
-8.308677,50,42.732398
-6.1530757,66,42.929241
-2.2626872,106,42.951187
-3.7423375,59,43.045617
1.8095759,56,43.128553
1.1270741,58,43.203493
-1.0915734,54,43.228783
-0.85986745,38,43.431825
-4.1063137,76,43.530997
-1.1289605,65,43.619755
0.1285193,54,43.686726
-6.509614,57,43.792065
-3.2859678,41,43.866538
1.4879346,85,44.11289
-25.617992,200,44.191851
11.547141,128,44.260812
3.6822674,71,44.357339
5.2982516,61,44.488221
8.090096,81,44.518651
20.22329,104,44.898014
0.3153272,50,44.907164
55.926075,200,45.68674
6.70899,166,45.93017
42.76664,187,46.305484
14.10075,200,46.371178
-7.079387,53,46.497895
8.787268,179,46.510993
13.909045,200,46.712851
-6.725536,52,46.952045
-0.985194,119,46.995649
15.296515,200,47.102943
29.503052,200,47.114577
2.142921,72,47.285672
-0.08256843,49,47.478286
-3.4301531,55,47.684615
-3.0676003,44,47.929456
-9.982775,145,48.055042
7.7000265,93,48.086659
2.4175422,135,48.4152
39.133312,200,48.449345
3.3816988,200,48.805431
6.1712117,131,49.037753
-8.793867,106,49.20076
8.765753,119,49.314861
24.537004,200,49.396631
-1.79149,112,49.651753
4.332972,65,50.032968
7.7628374,200,50.073081
58.0095,200,50.570648
28.5189,200,50.993985
24.279135,130,51.054672
3.8804052,194,51.162652
11.954104,200,51.373128
16.744925,200,51.549239
27.48035,200,52.179686
-1.013848,200,52.225603
-0.88991684,120,52.350862
24.132006,127,52.364051
7.9801035,200,52.702921
24.53443,200,53.303563
33.51477,200,53.53049
15.827391,200,53.718956
44.330463,200,54.337431
43.642143,200,54.388177
53.8882,200,54.512758
15.383235,200,54.522824
21.073385,126,54.715627
24.073967,200,54.951019
31.996946,188,55.614312
18.940992,186,55.764174
5.7831173,200,56.502149
13.654894,200,56.544121
28.304232,200,56.66544
7.059506,200,56.680522
40.702038,200,56.864525
13.35641,200,57.10729
3.5374687,200,57.773754
1.6490729,200,57.948429
23.174778,183,58.747818
11.323238,200,58.769863
14.631962,200,58.814686
50.709274,200,58.945408
2.293661,200,59.087085
25.204298,200,59.284304
16.645285,187,59.828828
25.62562,200,60.157259
30.53958,200,60.918695
6.9900002,200,60.937937
64.69954,200,60.982223
56.373188,200,61.103619
7.4071045,200,61.264254
2.9192433,200,61.453589
6.3351417,200,61.969344
68.001564,200,62.272773
41.28964,200,63.019713
53.290375,200,63.039952
36.396942,200,63.084787
20.789354,200,63.203551
14.150644,200,63.357419
2.007769,200,63.563044
53.51484,200,64.074741
28.365166,200,64.365671
60.09076,200,65.069222
52.80384,200,65.088663
35.45359,200,65.128965
42.56419,200,65.248149
24.525677,200,65.399751
26.881527,200,65.586936
29.071466,200,66.072065
29.005833,200,66.36974
20.801226,200,67.155765
50.610962,200,67.181528
42.25979,200,67.221233
7.189568,200,67.357337
39.605362,200,67.5358
12.619972,200,67.756256
30.984175,200,68.319746
23.221292,200,68.648866
20.50854,200,69.36249
41.550903,200,69.390982
43.926254,200,69.460369
0.9581409,200,69.596093
23.823782,200,69.754282
12.403024,200,69.963247
23.927097,200,70.521481
13.894321,200,70.967565
41.64157,200,71.864732
31.253967,200,71.890796
45.15437,200,71.941978
41.026203,200,72.070848
27.710047,200,72.229875
8.79036,200,72.439548
19.208893,200,72.999567
20.171753,200,73.291158
13.982828,200,74.113559
11.053284,200,74.140089
8.714247,200,74.18245
43.18033,200,74.307064
17.391638,200,74.491772
15.754843,200,74.711824
10.252712,200,75.274318
57.889183,200,75.598082
64.94751,200,76.363134
24.272852,200,76.389987
22.598057,200,76.452547
55.255737,200,76.582047
24.855436,200,76.741027
45.10243,200,76.936658
27.07688,200,77.499074
33.600506,200,77.79056
64.25117,200,78.604937
23.289927,200,78.633254
30.582577,200,78.676572
60.72794,200,78.819469
26.662619,200,78.981894
57.876446,200,79.20473
